Timestamp,Age,Gender,Income,Education,Used Freelance,Ease of aquiring freelance,Trust in freelance,Frequency of custom products,Wanted product that doesn�t exist,Benefit from customization,App interest,Matching preference,Making/buying preference,Factors
3/4/19 19:25,18-25,Female,$150k+,Bachelor's Degree,No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,Yes,"Home decor, Clothing, Furniture",4,Be matched,Buy it and let someone else make it,"Experience, Reputation, Portfolio/sample work, Price"
3/11/19 16:21,18-25,Female,Prefer not to say,"Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,Yes,"Art, Home decor, Clothing, Résumés/Templates, Jewelry",4,No preference,Buy it and let someone else make it,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/11/19 16:21,18-25,Female,"< $20,000","Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",1-2 times per month,Yes,"Art, Clothing, Furniture",4,No preference,Buy it and let someone else make it,"Experience, Reputation, Trustworthiness"
3/11/19 16:24,18-25,Female,"$20,000-34,999","Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",1-2 times per month,Yes,"Art, Home decor, Clothing, Résumés/Templates, Furniture, Jewelry",4,Be matched,Buy it and let someone else make it,"Experience, Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/11/19 16:24,34-40,Female,"$20,000-34,999","Some college, no degree",No,"N/A, I haven't hired freelance workers before",Somewhat trustworthy,1-2 times per month,Yes,"Home decor, Clothing, Furniture, Jewelry",3,No preference,Buy it and let someone else make it,"Experience, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/11/19 16:27,40-50,Male,$150k+,Master's Degree,No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,I'm not sure,Motorcycle ,3,Be matched,Learn to make it myself,"Experience, Reputation, Price"
3/11/19 16:28,18-25,Female,"< $20,000","Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,Yes,"Home decor, Clothing, Résumés/Templates",2,Find them myself,Buy it and let someone else make it,"Experience, Trustworthiness, Portfolio/sample work, Price"
3/11/19 16:30,18-25,Female,"< $20,000","Some college, no degree",No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,Yes,"Art, Home decor, Clothing, Pet supplies, Jewelry",2,Be matched,Buy it and let someone else make it,"Turnaround/shipping times, Reputation, Trustworthiness, Portfolio/sample work, Price"
3/11/19 16:38,18-25,Female,"< $20,000","Some college, no degree",Yes,Easy,Somewhat trustworthy,Never,I'm not sure,"Art, Clothing, Pet supplies, Jewelry",2,Find them myself,Learn to make it myself,"Experience, Turnaround/shipping times, Portfolio/sample work, Price"
3/11/19 16:40,18-25,Male,"$35,000-49,999",High School or equivalent (GED),No,"N/A, I haven't hired freelance workers before","N/A, I haven't hired freelance workers before",Never,I'm not sure,Pet supplies,3,Find them myself,No preference,"Experience, Reputation, Trustworthiness, Portfolio/sample work, Price"
